場所名稱,縣市,鄉/鎮/市/區,村/里,大道/路/街/地區,段,巷/弄/衖,號,樓（之~）,電話,開放時間,注意事項,設置依據
內政部國土管理署,臺北市,松山區,中崙里,八德路,2,,342,1,02-87712437,週一至週五 08:30~17:30,,依法設置
交通部運輸研究所,臺北市,松山區,民有里,敦化北路,,,240,,02-2349-6734轉 6733,週一至週五 08:30~17:30,,依法設置
交通部公路局臺北市區監理所,臺北市,松山區,吉祥里,八德路,4,,21,2,02-2763-0155轉628,週一至週五 08:30~18:00,,依法設置
臺北自來水事業處(東區營業分處),臺北市,松山區,精忠里,光復北路,,,266,1,02-8770-3357,週一至週五 08:30~17:30,,依法設置
臺北大眾捷運股份有限公司-臺北小巨蛋,臺北市,松山區,美仁里,南京東路,4,,2,,25783536分機601、602,週一至週日 09:00~21:00 (展演期間延至閉館),,依法設置
微風廣場實業股份有限公司,臺北市,松山區,中崙里,復興南路,1,,39,2,02-6600-8888轉 3528,"1.週日至週三 11:00~21:30
2.週四至週六 11:00~22:00",,依法設置
台灣家樂福股份有限公司三民分公司,臺北市,松山區,富錦里,三民路,,,160,2,02-2767-0702轉 850、851,"1.週日至週四 08:00~23:00
2.週五、週六 08:00~24:00",,依法設置
臺北偶戲館,臺北市,松山區,復盛里,市民大道,5,,99,2,02-2528-9553轉 202,週二至週日 10:00~17:00,,依法設置
臺北市政府體育局,臺北市,松山區,美仁里,南京東路,4,,10,1,02-2570-2330轉 6552,週一至週日 08:00~22:00,,依法設置
食祿軒餐廳股份有限公司慶城分公司,臺北市,松山區,中正里,復興北路,,,99,2,02-7707-1678轉 118,週一至週日 11:00~21:30,,依法設置
臺北市立圖書館三民分館,臺北市,松山區,三民里,民生東路,5,,163-1,5,02-2760-0408轉9,"1.週二至週六 08:30~21:00
2.週日、週一 09:00~17:00",,依法設置
臺北市立圖書館啟明分館,臺北市,松山區,中華里,敦化北路,,155巷,76,3,02-2514-8443轉 14,週一至週日 09:00~17:00,,依法設置
空軍松山基地指揮部,臺北市,松山區,精忠里,民權東路,4,,121,,02-2719-8499,週一至週五 08:00~17:00,位於軍營內有管制，針對軍眷搭機時開放使用。,依法設置
臺北市政府警察局松山分局,臺北市,松山區,中正里,南京東路,4,,12,1,02-2579-0692,每日24小時開放,,依法設置
臺北市政府社會局早療通報及轉介中心,臺北市,松山區,三民里,民生東路,5,,163-1,7,02-2756-8852轉 106,週一至週五 09:30~17:00,,依法設置
臺北市松山區戶政事務所,臺北市,松山區,慈祐里,八德路,4,,692,5,02-2753-3043轉 517,週一至週五 08:30~17:30,,依法設置
臺北市政府民政局民生社區中心,臺北市,松山區,三民里,民生東路,5,,163-1,4,02-2766-6959,週一至週日 08:00~22:00,需洽1樓警衛室或8樓民政局開門。,依法設置
