場所名稱,縣市,鄉/鎮/市/區,村/里,大道/路/街/地區,段,巷/弄/衖,號,樓（之~）,電話,開放時間,注意事項,設置依據
"
敏翔股份有限公司
",台南市,歸仁區,,中山一街,,,99號,,06-2398899#2101蔡小姐,24小時，僅供員工使用,,自願設置
七股遊客中心,台南市,七股區,鹽埕里,鹽埕,,,102-8號,,06-7801751,每周一至日(9:00~17:30)除夕除外，請洽服務台,,自願設置
下營國小,台南市,下營區,,中山路,二段,,72號,,6892181#819黃小姐,08:00~16:00(週一至週五)，提供員工使用,,自願設置
下營圖書館,台南市,下營區,下營里,文化街,,,117號,,06-6898669,"週二至週五：08:00-17:30/週六至週日：08:00-17:00
(每個月最後一個星期五清館日休息)",,自願設置
口碑實驗小學,台南市,新化區,知義里,,,,口埤88號,,06-5901445,週一至週五08:00~16:00僅供員工使用,,自願設置
大山國民小學,台南市,麻豆區, 海埔里,,,,大山腳1號,,06-5701374,"週一至週五8:30-17:30
僅限員工使用", ,自願設置
大內戶政事務所,台南市,大內區,石城里,石子瀨,,,74號,,06-5761259,週一至週五08:00~17:30,,自願設置
大內區二溪國小,台南市,大內區,二溪里,,,,154號,,06-5762001#205健康中心,週一至週五08:00~16:00僅供員工使用,,自願設置
大內區衛生所,台南市,大內區,大內里,,,,2號,,06-5761044,8:00-17:30,,自願設置
大內國中,台南市,大內區,內江里,,,,319之1號,,06-5761010#107,週一至週五 08:00~16:00(僅供員工及研習老師使用),,自願設置
大內國民小學,台南市,大內區,大內里,,,,63號,,06-5761007#7314校護     ,週一至週五08:00~16:00僅供員工使用,,自願設置
大內圖書館,台南市,大內區,內江里,,,,1-45,,06-5764401,"週二至週五：08:00-18:00
週六至週日：08:00-17:00",,自願設置
大同國小,台南市,善化區,六德里,六分寮,,,200之1號,,06-5837352#707,週一至週五07:30~16:00僅供員工及家屬及研習老師使用,,自願設置
大安婦幼醫院,台南市,中西區,大涼里,金華路三段,,,167號,,06-2278899,平常日:8:30-21:30 週六：8:30-18:00                                                  ,,自願設置
大成長城股份有限公司-柳營廠,台南市,柳營區,,長榮路,6段,,501號,,06-6224201#5085,週一至週五08:00~17:00(僅提供廠區員工使用),,自願設置
大亞電線電纜股份有限公司,台南市,關廟區,,中山路,二段,,249號,,06-5953131,週一至週五08:00~17:00 僅供員工使用,,自願設置
大港國小,台南市,北區,,大港街,,,146號,,06 259 1941#706,"週一至週五07:50~15:50       
(員工向總務室拿鑰匙)",,自願設置
大新國小,台南市,新化區,,太平街,,,176號,,06-5982953,週一至週五09:00~16:00僅供員工及研習老師使用(民眾使用向總務處詢問),,自願設置
小新國小,台南市,善化區,蓮潭里,,,,366號,,06-5837019#4911,週一至週五8:00-16:00 (僅供員工及家長使用),,自願設置
小腳腿日照中心,台南市,柳營區,,,,,226之1號,2F,06-6231781,週一至週五09:00~17:00(提供員工及民眾使用，但民眾要使用時請詢問工作人員),,自願設置
山上區公所,台南市,山上區,南洲里,,,,325號,,06-5781801,週一至週五08:00~17:00,,自願設置
山上區衛生所,台南市,山上區,山上里,,,,35-2號,,06-5781013,8:00-17:30,,自願設置
山上國小,台南市,山上區,南洲里,,,,42號,,06 5781203,週一至週五08:00~16:00僅供員工使用,,自願設置
工研院六甲院區,台南市,六甲區,甲東里,工研路,,,8號,,06-6939150邱小姐,週一至週五08:00~17:00僅供員工使用,,自願設置
中西區公所,台南市,中西區,,開山路,,,1號,,06-2267151,週一至週五08:00~12:00  13:30~17:30,,自願設置
中強光電股份有限公司,台南市,新市區,豐華里,南科六路,,,2-1號,,06-5052551#6039,"週一至週五08:00-18:00；
僅供廠區員工及洽公人員使用",,自願設置
中華郵政臺南郵局,台南市,北區,公園里,成功路,,,6號,,06-2261291,"週一至週五8:30-20:00          
週六09:00~12:00",,自願設置
中營國小,台南市,下營區,開化里,,,,270號,,06-6892600#207,週一至週五07:40~16:00僅供員工及家屬及研習老師使用(要使用需向健康中心護理師詢問),,自願設置
仁德區衛生所,台南市,仁德區,仁德里,中山路,,606巷,2號,,06-2704153,8:00-17:30,,自願設置
仁德國小,台南市,仁德區,仁義里,中正路,二段,,806號,,06-2794570,週一至週五08:00~17:00僅供員工使用,,自願設置
六甲區衛生所,台南市,六甲區,二甲里,中華路,,,110號,,06-6982013,8:00-17:30,,自願設置
六甲農會,台南市,六甲區,六甲里,建國街,,,13號,,06-6983621請洽2樓稅務部,週一至週五08:00~17:00(假日及國定假日休假),,自願設置
日揚科技股份有限公司,台南市,安南區,布袋里,工明南二路,,,106號,,06-2460296#419 葉小姐,上班日:8:30-17:30，僅供廠區員工使用(假日可以拿鑰匙使用),,自願設置
北門區衛生所,台南市,北門區,北門里,港北,,,50號,,06-7862043,週一至周五8:00-17:30,,自願設置
北門圖書館,台南市,北門區,北門里,港北,,,49號,,06-7861278,"每週星期二至星期五(08:00-18:00)
每周星期六、星期日(08:00-16:00)",,自願設置
北區區公所,台南市,北區,,成功路,,238巷,7號,,06-2286993,週一至週五8:00~12：00，13：30~17:30,,自願設置
北區衛生所,台南市,北區,公園里,西華街,,,50號,,06-2252404,週一至週五8:00~12：00，13：30~17:30,,自願設置
卡多利亞食品股份有限公司（卡多利亞良食故事館）,台南市,後壁區,後壁里,,,,42之27號,,06-6873480,09:00-17:00(供館內客人及員工使用),,自願設置
可成科技股份有限公司,台南市,永康區,,永科五路,,,10號,,06-2039900#2312  林小姐,24小時開放；僅供廠區員工使用,,自願設置
可成科技股份有限公司,台南市,永康區,三民里,仁愛街,,,398號,,06-2539000#2312  邱小姐,24小時開放；僅供廠區員工使用,,自願設置
可成科技股份有限公司,台南市,安南區,塩田里,本田路,2段,,500號,,06-3842727#2306  陳小姐,24小時開放；僅供廠區員工使用,,自願設置
台南市左鎮區左鎮國小,台南市,左鎮區,中正里,,,,7號,,06-5731019,週一至週五08:00~16:00(假日及國定假日休假)(僅供員工及家長使用),,自願設置
台南市左鎮區光榮實驗國小,台南市,左鎮區, 榮和里,,,,61-1號,,06-5731658,週一至週五08:00~16:00(假日及國定假日休假)(僅供員工及家長使用),,自願設置
台南市市場處六甲菜市場,台南市,六甲區,六甲里,中正路,,,522號,,06-6987846楊小姐,07:30~16:30,,自願設置
台南市立佳里國民中學,台南市,佳里區,建南里,安南路,,,523號,,"06-7211480
衛生組長","週一至週五08:00~17:00 
上班時段僅供員工及家屬使用",,自願設置
台南市安定區公所,台南市,安定區,安定里,,,,59號,,06-5921116-二樓總務施小姐,8:00-17:00(僅上班日提供),,自願設置
台南市私立順園老人長期照顧中心（養護型）,台南市,將軍區,長榮里,長榮,,,66-12號,,06-7941286,週一至週日08:00-17:30僅供員工使用,,自願設置
台南市新營戶政事務所鹽水辦公處,台南市,鹽水區,,北門路,,,102號,,06-6521404,週一至週五8:00-17:30(僅上班日提供),,自願設置
台南市親子悠遊館,台南市,東區,,裕文路,,,62號,,06-3319126,週二13:30~17:00   週三至週日09:00~12:00  13:30~17:00(僅提供可入館有需求之母親、保母或家人如阿公阿嬤),,自願設置
台南市歸仁戶政事務所龍崎辦公處,台南市,龍崎區,崎頂里,新市子,,,201號2樓,,06-5941182,週一至週五08:00~17:30(國定假日及例假日休假),,自願設置
台鉅美妝觀光工廠,台南市,仁德區,太子里,中正路,三段,,589號,,06-2052013,週一至週日09:00~17:00,,自願設置
台積電18廠(F18),台南市,安定區, ,北園二路,,,8號,,0933-360170楊小姐,星期一至日8:00-17:00開放僅供廠區員工使用,,自願設置
台糖畜牧公司,台南市,柳營區,人和里,義士路,5段,,690號,,06-6223233,週一至週五08:00~17:00(僅提供員工使用),,自願設置
台灣人壽台南分公司,台南市,中西區,,成功路,二段,,457號,8樓,06-2231845,週一至週五 9:00~17:00(僅開放上班時段),,自願設置
台灣基督長老教會新樓醫療財團法人台南新樓醫院,台南市,東區,東門里,東門路,1段,,57號,,06-2748316,一樓小兒科候診區旁(門診時間開放，週一至週五09:00-21:00；週六09:00-12:00)找護理人員開門,,自願設置
台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,台南市,麻豆區,埤頭里,苓子林,,,20號,,06-5702228 #2197,週一至週五 08:00-21:00 週六 08:00-12:00,,自願設置
左鎮區衛生所,台南市,左鎮區,中正里,,,,172-15號,,06-5731114,8:00-17:30(僅上班日提供),,自願設置
正達國際光電股份有限公司-南科分公司(南科二廠),台南市,新市區,南關里,環東路二段,,,6號,,06-5055555   林先生,24小時開放；僅供廠區員工及洽公人員使用,,自願設置
永川醫院,台南市,中西區,,成功路,,,169號, ,06-2245771,洽詢服務人員,,自願設置
永和醫院,台南市,中西區,,府前路,一段,,310號, ,06-2231191,"平常日:8:00-12:00; 14:00-18:00; 18:00-21:00    
週六：8:00-12:00                                                  ",,自願設置
永康區地政事務所,台南市,永康區,永康里,文化路,,,55號,,06-2310975#404,"8:00-17:30(僅上班日提供)
",,自願設置
永康區衛生所,台南市,永康區,永康里,文化路,,,51號,,06-2326507,8:00-17:30(僅上班日提供),,自願設置
永裕塑膠工業股份有限公司,台南市,仁德區,新田里,勝利路,,,88號,,06-2793711#119游小姐,08:00-17:00(僅提供員工使用),,自願設置
玉山國小,台南市,南化區,玉山里,,,,8-1號,,06-5772072,周一至周五8:00-16:00(僅供員工使用),,自願設置
玉井區衛生所,台南市,玉井區,玉田里,中正路,,,5號,,06-5742275,8:00-17:30(僅上班日提供),,自願設置
生泰合成公司,台南市,新營區,,開元路,,,168號, ,06-6362121,週一至週五08:00~17:00 僅供員工使用，不對外開放,,自願設置
白河安聯診所,台南市,白河區,白河里,富民路,,,62號,,06-685-2555 #111,週一至週五 08:00~12:00  14:00~18:00週六08:00~12:00 ,,自願設置
白河金典幼兒園,台南市,白河區,昇安里,中山路,,,652號,,06-6830033,週一至週五08:00~16:00 (僅供員工使用) ,,自願設置
白河區衛生所,台南市,白河區,永安里,國光路,,,5號,,06-6852014,8:00-17:30,,自願設置
白河國中,台南市,白河區,昇安里,三間厝,,,220號,,06-6852067,週一至週五08:00~16:00 (僅供員工使用) ,,自願設置
交通部公路總局嘉義區監理所新營監理站,台南市,新營區,新東里,大同路,,,55號,,06-6352845#195張小姐,週一至週五8:00-17:00,,自願設置
伊頓飛瑞慕品股份有限公司關廟廠,台南市,關廟區,埤頭里,保東路,,,269-1號,,06-6007636  護理師,週一至週五8:00-17:00；供員工使用,,自願設置
光洋應用材料股份有限公司,台南市,安南區,,工業三路,,,1號,,06-5110123,週一至週五8:00-17:30(限員工使用),,自願設置
全球人壽保險股份有限公司（台南分公司）,台南市,東區,,中華東路,1段,,92號,1樓,06-6017600,上班時間8:00-18:00，位於二樓(僅提供員工使用),,自願設置
吉安醫院,台南市,關廟區,,中正路,,,435號,,06-6025115,24小時,,自願設置
安安婦產科診所,台南市,北區,,開元路,,,286號,,06-2091666,門診時間(僅提供民眾及員工使用),,自願設置
安定區衛生所,台南市,安定區,安定里,,,,59 號之 1,,06-5922022,週一至週五8:00~12:00及13:30~17:30,,自願設置
安定國中,台南市,安定區,安加里,安定,,,262-1號,,06-5922003#19吳小姐,週一至週五 08:00~17:00 ,,自願設置
安南戶政所,台南市,安南區,,安中路,二段,,306號,,062567126-160謝小姐,週一至週五08:00~17:30,,自願設置
安南地政事務所,台南市,安南區,,仁安路,,,1號,,06-2558135#204,週一至週五 08:00~17:30,,自願設置
安南區衛生所,台南市,安南區,,仁安路,,,70號,,06-2567406,週一至週五 08:00~17:30,,自願設置
旭硝子顯示玻璃股份有限公司,台南市,新市區,豐華里,風鈴路,,,1號,,06-5889911  #6118,24小時；僅供廠區員工使用,,自願設置
西港戶政事務所,台南市,西港區,,中山路,,,337號,,06-7952414,08:00-17:30(僅上班日提供),,自願設置
西港區衛生所,台南市,西港區,西港里,中山路,,,368號,,06-7952338,8:00-17:30(僅上班日提供),,自願設置
西港國中,台南市,西港區,,文化路,,,41號,,06-7952071,週一至週五07:20~17:00僅供員工使用,,自願設置
西港圖書館,台南市,西港區,,中山路,,,370號,,06-7951840,"週二至週五：08:00-20:30
週六至週日：08:00-17:00",,自願設置
伯利恆東山服務據點,台南市,東山區,,新東路,一段,,35號,,06-5790636 ,週一至週五09:00~11:30(周三沒開放，僅提供可入館有需求之母親),,自願設置
住華科技股份有限公司,台南市,善化區,南關里,環東路,二段,,32號,,06-5053456#68995,24小時開放；僅供員工使用,,自願設置
宏科醫院,台南市,善化區,,三民路,,,1-35號,,06-5818868#3103,週一至週五09:00~21:00(提供員工及民眾使用，但民眾要使用時請詢問工作人員),,自願設置
宏捷科技股份有限公司,台南市,新市區,,大利一路,,,6號,,06-5050999#663  蔡小姐,24小時開放(供員工訪客使用),,自願設置
宏遠興業股份有限公司(宏遠紡織),台南市,山上區,明和里,山上工業區,,,256號,,06-5782561,"24小時開放；
僅供廠區員工及洽公人員使用",,自願設置
希世比能源股份有限公司,台南市,官田區,,工業西路,,,16號,,06-6987600,24小時(僅提供員工使用),,自願設置
志誠醫院(原陳志誠耳鼻喉科醫院),台南市,北區,,公園路,,,315-1號, ,06-2091666,"週一至週六09:00–12:00, 15:00–18:00, 18:30–21:30(提供員工及顧客使用，但民眾要使用時請詢問工作人員)",,自願設置
快樂診所,台南市,麻豆區,晉江里,民權路,,,22-5,,06-5714606,週一至週六08:30-12:00、15:00-18:00、18:30-21:00(提供員工及顧客使用，但民眾要使用時請詢問工作人員),,自願設置
私立台南仁愛之家附設仁馨醫院,台南市,新化區,護國里,中山路,,,20號,,06-5902336#12顏專員,週一至週五8:30-17:30,,自願設置
私立長榮中學,台南市,東區,,林森路,二段,,79號,,06-2381711,週一至週五08:00~17:00僅供員工使用,,自願設置
赤崁樓,台南市,中西區,,民族路,二段,,212號,,06-2205647,週一至週日08:30~21:00(僅提供購票入場之民眾) ,,自願設置
走馬瀨農場,台南市,大內區,二溪里,唭子瓦,,,60號,,06-576-0121#2120陳小姐,24小時，供員工及顧客使用,,自願設置
